z_grid,area,stage,type,sample_id
1743.284553522355,55215.62881468675,HH17,individual,sample_1
1755.9170502870097,56847.58126288222,HH17,individual,sample_1
1768.5495470516644,58479.53371107768,HH17,individual,sample_1
1781.1820438163193,60111.48615927318,HH17,individual,sample_1
1793.814540580974,61823.475791063494,HH17,individual,sample_1
1806.4470373456288,63845.42802763397,HH17,individual,sample_1
1819.0795341102835,65867.38026420442,HH17,individual,sample_1
1831.7120308749381,67889.33250077485,HH17,individual,sample_1
1844.344527639593,69798.86597816812,HH17,individual,sample_1
1856.9770244042477,71519.37281285487,HH17,individual,sample_1
1869.6095211689026,73239.87964754165,HH17,individual,sample_1
1882.2420179335572,74960.38648222841,HH17,individual,sample_1
1894.874514698212,76344.10183023637,HH17,individual,sample_1
1907.5070114628668,77441.66036712761,HH17,individual,sample_1
1920.1395082275214,78539.21890401884,HH17,individual,sample_1
1932.772004992176,79636.77744091007,HH17,individual,sample_1
1945.404501756831,80810.63648316023,HH17,individual,sample_1
1958.0369985214857,82015.9108610217,HH17,individual,sample_1
1970.6694952861403,83221.18523888315,HH17,individual,sample_1
1983.3019920507952,84426.45961674463,HH17,individual,sample_1
1995.9344888154499,86205.36951677044,HH17,individual,sample_1
2008.5669855801048,88065.43512657113,HH17,individual,sample_1
2021.1994823447594,89925.50073637177,HH17,individual,sample_1
2033.831979109414,91804.86616606821,HH17,individual,sample_1
2046.464475874069,94105.89517168686,HH17,individual,sample_1
2059.096972638724,96406.92417730553,HH17,individual,sample_1
2071.7294694033785,98707.95318292415,HH17,individual,sample_1
2084.361966168033,100830.36184605908,HH17,individual,sample_1
2096.994462932688,102286.7549562941,HH17,individual,sample_1
2109.6269596973425,103743.14806652913,HH17,individual,sample_1
2122.2594564619976,105199.5411767642,HH17,individual,sample_1
2134.8919532266523,105990.3047020873,HH17,individual,sample_1
2147.524449991307,105691.27559151952,HH17,individual,sample_1
2160.1569467559616,105392.24648095174,HH17,individual,sample_1
2172.7894435206163,105093.21737038395,HH17,individual,sample_1
2185.421940285271,103591.82231379328,HH17,individual,sample_1
2198.054437049926,101094.25612131048,HH17,individual,sample_1
2210.6869338145807,98596.68992882776,HH17,individual,sample_1
2223.3194305792354,96099.12373634505,HH17,individual,sample_1
2235.95192734389,91785.56923659549,HH17,individual,sample_1
2248.5844241085447,86746.74605907801,HH17,individual,sample_1
2261.2169208732,81707.92288156034,HH17,individual,sample_1
2273.8494176378545,76669.09970404285,HH17,individual,sample_1
2286.481914402509,66022.42192340827,HH17,individual,sample_1
2299.114411167164,54627.72904854273,HH17,individual,sample_1
2311.7469079318184,43233.03617367719,HH17,individual,sample_1
2324.379404696473,32408.30449180294,HH17,individual,sample_1
2337.011901461128,32408.30449180294,HH17,individual,sample_1
2349.644398225783,32408.30449180294,HH17,individual,sample_1
2362.2768949904375,32408.30449180294,HH17,individual,sample_1
2374.909391755092,32408.30449180294,HH17,individual,sample_1
2387.541888519747,32408.30449180294,HH17,individual,sample_1
2400.174385284402,32408.30449180294,HH17,individual,sample_1
2412.8068820490566,32408.30449180294,HH17,individual,sample_1
2425.4393788137113,32408.30449180294,HH17,individual,sample_1
2438.071875578366,32408.30449180294,HH17,individual,sample_1
2450.7043723430206,32408.30449180294,HH17,individual,sample_1
2463.3368691076757,32408.30449180294,HH17,individual,sample_1
2475.9693658723304,32408.30449180294,HH17,individual,sample_1
2488.601862636985,32408.30449180294,HH17,individual,sample_1
2501.2343594016397,32408.30449180294,HH17,individual,sample_1
2513.8668561662944,32408.30449180294,HH17,individual,sample_1
0.0,4239.455490535451,HH17,individual,sample_2
12.632496764654746,5724.326311663033,HH17,individual,sample_2
25.264993529309493,7209.197132790616,HH17,individual,sample_2
37.89749029396424,8694.067953918198,HH17,individual,sample_2
50.529987058618985,10178.938775045779,HH17,individual,sample_2
63.16248382327373,11035.789623309081,HH17,individual,sample_2
75.79498058792848,11865.860464692301,HH17,individual,sample_2
88.42747735258322,12695.93130607552,HH17,individual,sample_2
101.05997411723797,13526.002147458737,HH17,individual,sample_2
113.69247088189272,13954.277988799513,HH17,individual,sample_2
126.32496764654746,14346.760890634325,HH17,individual,sample_2
138.9574644112022,14739.243792469135,HH17,individual,sample_2
151.58996117585696,15131.726694303947,HH17,individual,sample_2
164.2224579405117,15353.112689749598,HH17,individual,sample_2
176.85495470516645,15550.570248107613,HH17,individual,sample_2
189.4874514698212,15748.027806465629,HH17,individual,sample_2
202.11994823447594,15945.485364823642,HH17,individual,sample_2
214.7524449991307,16195.529445381399,HH17,individual,sample_2
227.38494176378543,16455.8588571483,HH17,individual,sample_2
240.01743852844018,16716.188268915208,HH17,individual,sample_2
252.64993529309493,16976.51768068211,HH17,individual,sample_2
265.2824320577497,17384.899510630778,HH17,individual,sample_2
277.9149288224044,17831.33898305916,HH17,individual,sample_2
290.54742558705914,18277.77845548754,HH17,individual,sample_2
303.1799223517139,18724.217927915925,HH17,individual,sample_2
315.8124191163687,19309.56499258876,HH17,individual,sample_2
328.4449158810234,19940.08262399768,HH17,individual,sample_2
341.0774126456781,20570.600255406604,HH17,individual,sample_2
353.7099094103329,21201.11788681553,HH17,individual,sample_2
366.3424061749877,21932.745533103604,HH17,individual,sample_2
378.9749029396424,22704.930570228207,HH17,individual,sample_2
391.6073997042971,23477.115607352815,HH17,individual,sample_2
404.2398964689519,24249.300644477426,HH17,individual,sample_2
416.87239323360666,25109.014525448118,HH17,individual,sample_2
429.5048899982614,26011.292841519986,HH17,individual,sample_2
442.1373867629161,26913.571157591854,HH17,individual,sample_2
454.76988352757087,27815.84947366373,HH17,individual,sample_2
467.40238029222564,28817.281474429292,HH17,individual,sample_2
480.03487705688036,29876.468881378507,HH17,individual,sample_2
492.6673738215351,30935.656288327722,HH17,individual,sample_2
505.29987058618985,31994.843695276944,HH17,individual,sample_2
517.9323673508446,33099.45872778915,HH17,individual,sample_2
530.5648641154994,34235.5092229648,HH17,individual,sample_2
543.1973608801541,35371.559718140445,HH17,individual,sample_2
555.8298576448088,36507.610213316104,HH17,individual,sample_2
568.4623544094636,37530.04399156245,HH17,individual,sample_2
581.0948511741183,38459.56446686772,HH17,individual,sample_2
593.727347938773,39389.084942172994,HH17,individual,sample_2
606.3598447034278,40318.60541747827,HH17,individual,sample_2
618.9923414680826,41041.34765901277,HH17,individual,sample_2
631.6248382327374,41564.802800120146,HH17,individual,sample_2
644.257334997392,42088.25794122751,HH17,individual,sample_2
656.8898317620468,42611.71308233488,HH17,individual,sample_2
669.5223285267016,42979.410396573716,HH17,individual,sample_2
682.1548252913562,43170.281378149564,HH17,individual,sample_2
694.787322056011,43361.15235972542,HH17,individual,sample_2
707.4198188206658,43552.023341301276,HH17,individual,sample_2
720.0523155853206,43570.60867075123,HH17,individual,sample_2
732.6848123499753,43358.40444684079,HH17,individual,sample_2
745.31730911463,43146.20022293035,HH17,individual,sample_2
757.9498058792848,42933.995999019906,HH17,individual,sample_2
770.5823026439396,42595.856220992486,HH17,individual,sample_2
783.2147994085942,42057.841493295244,HH17,individual,sample_2
795.847296173249,41519.82676559799,HH17,individual,sample_2
808.4797929379038,40981.81203790073,HH17,individual,sample_2
821.1122897025585,40404.01576811748,HH17,individual,sample_2
833.7447864672133,39750.90309081955,HH17,individual,sample_2
846.377283231868,39097.790413521616,HH17,individual,sample_2
859.0097799965228,38444.677736223675,HH17,individual,sample_2
871.6422767611775,37777.95720774931,HH17,individual,sample_2
884.2747735258322,37080.18969030857,HH17,individual,sample_2
896.907270290487,36382.42217286784,HH17,individual,sample_2
909.5397670551417,35684.6546554271,HH17,individual,sample_2
922.1722638197965,34986.96906018131,HH17,individual,sample_2
934.8047605844513,34289.51204688699,HH17,individual,sample_2
947.437257349106,33592.05503359269,HH17,individual,sample_2
960.0697541137607,32894.59802029837,HH17,individual,sample_2
972.7022508784155,32226.682683329887,HH17,individual,sample_2
985.3347476430702,31661.736350031882,HH17,individual,sample_2
997.9672444077249,31096.79001673387,HH17,individual,sample_2
1010.5997411723797,30531.84368343586,HH17,individual,sample_2
1023.2322379370345,30025.50034110487,HH17,individual,sample_2
1035.8647347016893,29782.477565828267,HH17,individual,sample_2
