stage,timepoint,radius,norm_height,angle_degrees,thickness,phh3,Curvature,Gauss_Curvature,Mean_Curvature,K1,K2
hh17,2025-09-18-13-02,255.0109582109624,0.9270619231542584,150.48362262940634,36.60152475002943,44.632698,1.4891619375515228e-05,1.5547569553478763e-05,0.0046325402802393,0.0070650109344252,0.0022000696260534
hh17,2025-09-18-13-02,259.5782032662421,0.9124001842959404,147.46364431925065,43.020510799595655,42.15934,1.1661614119712447e-05,1.3501095956912633e-05,0.0042692739849497,0.0064735076257888,0.0020650403441106
hh17,2025-09-18-13-02,188.06244844778428,0.8602567388200529,55.25053836844583,41.97649613150437,81.146996,9.14928391898462e-06,-1.971854079254017e-06,0.0025583718400206,0.0054649940362155,-0.0003482503561743
hh17,2025-09-18-13-02,210.40286822953408,0.6979633059791971,76.83622609478073,63.17484488080734,75.87633,8.183740014325357e-06,7.514001069560115e-06,0.0034449923266831,0.0055322542534806,0.0013577303998856
hh17,2025-09-18-13-02,187.2340511476952,0.9319293706863226,127.7116454887904,38.60653033812545,75.644844,7.455447267795368e-06,1.2079568120332209e-05,0.0036056843602966,0.0049395826076528,0.0022717861129404
hh17,2025-09-18-13-02,165.20035049341806,0.8813569563436331,69.06147384613837,38.59821154141348,77.58061,5.5209844138510405e-06,-1.6144416215761485e-06,0.0017621016452075,0.0039035356744301,-0.0003793323840149
hh17,2025-09-18-13-02,206.70578161250097,0.8996883181145007,41.022402305954415,37.548326710324574,71.449455,1.6216748622564705e-05,-2.6597663954088447e-06,0.0027540089130994,0.0059763423923643,-0.0004683245661655
hh17,2025-09-18-13-02,154.71233697361455,0.8517431984331266,83.08051838232586,43.785797559615474,79.39708,4.4278885360713205e-06,-1.3771530265842736e-06,0.0016169715163812,0.003651133005625,-0.0004171899728626
hh17,2025-09-18-13-02,162.12113289595936,0.82106495289667,78.19318728779695,58.95207179322432,80.92792,3.98261174178993e-06,-1.509115346151204e-06,0.0020333207639387,0.0044376716230244,-0.0003710300951468
hh17,2025-09-18-13-02,180.90215480879212,0.7991714145284552,63.33844481404941,57.53560517635152,80.288704,5.220505668187576e-06,-7.776529840498465e-07,0.0033184478788603,0.0067659193979366,-0.0001290236402159
hh17,2025-09-18-13-02,201.16219618259737,0.7944502493291363,48.14351405366901,53.023656078911706,75.198395,1.0041617087078913e-05,9.33799644278612e-08,0.004239139523974,0.0084543926285389,2.388641940918077e-05
hh17,2025-09-18-13-02,187.53117743057425,0.704421202653231,96.7022465452157,64.11968376752766,75.77194,5.492479030175582e-06,2.936787585723881e-06,0.0029304321018901,0.0052973911951125,0.0005634730086677
